phase_bin4h,chloro,dual,mito,other
Dawn/early day (ZT0–3),2,0,2,0
Morning (ZT4–7),1,0,0,0
Late day (ZT8–11),1,0,0,0
Early night (ZT12–15),2,0,2,0
Mid night (ZT16–19),1,0,1,0
Late night/pre-dawn (ZT20–23),0,0,0,0
