"AGI","status"
"AT1G02060","robust"
"AT1G19720","robust"
"AT3G06430","robust"
"AT4G18520","robust"
"AT5G13770","robust"
"AT5G67570","robust"
"AT1G31920","candidate"
"AT1G71460","candidate"
"AT1G80550","candidate"
"AT2G41720","candidate"
"AT3G05340","candidate"
"AT4G14820","candidate"
"AT4G16390","candidate"
"AT4G38010","candidate"
"AT5G02830","candidate"
"AT5G04810","candidate"
"AT5G14080","candidate"
"AT5G21222","candidate"
