phase_bin4h,chloro,dual,mito,other
Dawn/early day (ZT0–3),4,0,11,3
Morning (ZT4–7),3,0,3,0
Late day (ZT8–11),10,0,15,0
Early night (ZT12–15),4,0,11,1
Mid night (ZT16–19),1,0,1,0
Late night/pre-dawn (ZT20–23),1,0,2,1
